"Region","Year","horizon","n_future","n_past","future_window_years_min","future_window_years_mean","future_window_years_max","past_window_years_min","past_window_years_mean","past_window_years_max","predictive_capacity","predictive_capacity_se","predictive_capacity_p","past_at_horizon","past_at_horizon_se","past_at_horizon_p"
"Global",2018,2,4,4,3,3,3,3,3,3,3.54898599978849,1.44211564991142,0.132966254938868,3.70093371970317,0.664074061877122,0.0307206911356933
"Global",2018,3,4,4,3,3.75,4,4,4,4,3.46323731722095,1.62219405056007,0.166320538785845,3.88907208389168,0.662785611658537,0.0278368214079653
"Global",2018,4,4,4,3,4.5,5,5,5,5,3.42739910809831,1.70065013978519,0.181430970180079,3.85977433335892,0.522027155133207,0.0178049777142404
"Global",2018,5,4,4,3,5,6,6,6,6,3.43206498860886,1.70936868822649,0.182446532208273,3.88248941230826,0.486414431722733,0.0153359781729685
"Global",2019,1,4,4,2,2,2,2,2,2,4.20396772150737,0.496271294344028,0.0136507153280023,4.01457970696156,0.550663638354114,0.0182996396566805
"Global",2019,2,4,4,2,2.75,3,3,3,3,4.19371329522487,0.673225353867894,0.024815298037612,3.95911849116285,0.584608098717863,0.0211156760296553
"Global",2019,3,4,4,2,3.5,4,4,4,4,4.17613464301924,0.716770315682119,0.0282176020684504,3.83361388587943,0.557072579991376,0.0204696515251445
"Global",2019,4,4,4,2,4,5,5,5,5,4.12888525214672,0.719366711777769,0.0290395712434224,3.91385717748494,0.631310289946886,0.025044816005134
"Global",2019,5,4,4,2,4.25,6,6,6,6,3.55316045488973,0.706172103425631,0.0373032992869916,3.79594525718751,0.717783205416949,0.033945662753144
"Global",2020,1,4,4,1,1.75,2,2,2,2,3.63620918142455,0.789653783149064,0.0440663518453053,3.77628976186519,0.256598514619568,0.0045854554699984
"Global",2020,2,4,4,1,2.5,3,3,3,3,3.66969710212997,0.719183003840247,0.0363277176926194,3.55473286533535,0.0652003620341725,0.000336253631090892
"Global",2020,3,4,4,1,3,4,4,4,4,3.6050628421862,0.709116920561507,0.0365811485314058,3.51555012421645,0.219622541328426,0.00388001936480605
"Global",2020,4,4,4,1,3.25,5,5,5,5,2.99266868921526,0.682092029039979,0.0482214174682314,3.39841519924524,0.368336442765773,0.0115442319770278
"Global",2020,5,4,4,1,3.25,5,6,6,6,2.99266868921526,0.682092029039979,0.0482214174682314,3.44604059845166,0.474584330209783,0.0184433683521385
"Global",2021,1,3,4,2,2,2,1,1.75,2,NA,NA,NA,3.40796505875084,2.45926538449565,0.300113623005945
"Global",2021,2,3,4,2,2.66666666666667,3,2,2.75,3,NA,NA,NA,3.09435198461008,2.68648723950563,0.368492251200838
"Global",2021,3,3,4,2,3,4,3,3.75,4,NA,NA,NA,2.63057622358301,2.68530779288029,0.430575019260429
"Global",2021,4,3,4,2,3,4,4,4.75,5,NA,NA,NA,2.42429442382468,2.72258167045021,0.467182960274702
"Global",2021,5,3,4,2,3,4,5,5.75,6,NA,NA,NA,2.33625826755369,2.65713317681364,0.472007641259453
"HIC",2006,1,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
"HIC",2006,2,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA
"HIC",2006,3,3,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA
"HIC",2006,4,3,3,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA
"HIC",2006,5,3,3,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA
"HIC",2007,1,4,4,2,2,2,2,2,2,0.666679106475803,2.093462684009,0.780317389097492,0.21004852782843,2.49250977838634,0.940516286092601
"HIC",2007,2,4,4,3,3,3,3,3,3,0.125107612228526,1.69493385294516,0.947877499176034,0.177009960174008,2.71045933111121,0.953870659273559
"HIC",2007,3,4,4,4,4,4,4,4,4,0.113900206961668,1.84136455972049,0.956302689666362,-0.0529163154521415,2.63456169809578,0.985798885520371
"HIC",2007,4,4,4,5,5,5,5,5,5,0.0965314221122953,1.74485003276551,0.960910191490358,-0.215484931502812,2.49508741602978,0.939045211003073
"HIC",2007,5,4,4,6,6,6,6,6,6,0.178877736293562,1.8029160725206,0.930015860084567,-0.243181883798113,2.58721017892146,0.933682615376495
"HIC",2008,1,4,4,2,2,2,2,2,2,2.89261183384621,0.743869058808316,0.0602202320404335,4.84437453992242,0.959542946583986,0.0370655989772259
"HIC",2008,2,4,4,3,3,3,3,3,3,3.57744962260389,0.979297135742854,0.0674420891514162,5.08476440760776,1.08441125112582,0.0425976119818964
"HIC",2008,3,4,4,4,4,4,4,4,4,3.44475652209017,0.900433333605895,0.062035858364156,5.52335558167581,1.29193076876316,0.0505945500085051
"HIC",2008,4,4,4,5,5,5,5,5,5,3.65450406561897,1.02524836438918,0.0704848848912955,5.40594252784937,1.40349405607474,0.0612731435603216
"HIC",2008,5,4,4,6,6,6,6,6,6,3.78791602738795,1.09898122417974,0.0748465902585015,5.0920949592456,1.56245499651495,0.0826463041546937
"HIC",2009,1,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
"HIC",2009,2,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA
"HIC",2009,3,3,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA
"HIC",2009,4,3,3,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA
"HIC",2009,5,3,3,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA
"HIC",2010,1,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
"HIC",2010,2,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA
"HIC",2010,3,3,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA
"HIC",2010,4,3,3,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA
"HIC",2010,5,3,3,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA
"HIC",2011,1,4,4,2,2,2,2,2,2,6.43819963223949,3.42256278726461,0.200690907871298,5.83609591525619,4.26308718562715,0.304476337806838
"HIC",2011,2,4,4,3,3,3,3,3,3,7.22825239277081,3.34719546833178,0.163427350340877,4.27507824198985,3.95125925638598,0.39237416214803
"HIC",2011,3,4,4,4,4,4,4,4,4,7.36193329520436,2.81087599997549,0.120081359516439,5.04119893078049,3.65614703440044,0.301907635562145
"HIC",2011,4,4,4,5,5,5,5,5,5,7.48262631246778,2.78954603073097,0.115412807421169,5.61894843678651,4.07573845958427,0.30195827086621
"HIC",2011,5,4,4,6,6,6,6,6,6,7.35314717883114,2.42395525623082,0.0936526330028279,6.07266019723345,4.35560891775557,0.29794597294094
"HIC",2012,1,4,4,2,2,2,2,2,2,3.89650451078717,5.82671987516946,0.572519523216385,2.46864415287947,4.89166355711505,0.663907400719437
