"Region","Risk_Type","Year","Risk_Score","best_horizon","future_shocks","past_shocks","z_risk","z_future","z_past","predictive_capacity_component","past_component","anticipatory_skill_component","predictive_capacity_component_roll3","anticipatory_skill_component_roll3"
"LMC","Economic",2010,4.655147635,5,2.47410334542323,3.20817796439496,2.32341969478596,-0.0148777663951817,0.442389416467098,-0.03456729545699,1.02785628298452,-1.06242357844151,-0.0281222892514929,-0.714740379101058
"LMC","Economic",2011,3.233166667,5,2.52847924312484,2.99067437358852,-0.280523890985339,0.107645015682786,0.0424893789827154,-0.0301969986445129,-0.011919285917782,-0.0182777127267309,0.0203426229813686,-0.287163018252665
"LMC","Economic",2012,3.552302888,5,2.66441898737886,2.80035873163289,0.303881058420596,0.413951970877705,-0.307423153816118,0.125792163045609,-0.0934200733646395,0.219212236410248,0.113781156670461,0.230603803713264
"LMC","Economic",2013,3.59,5,2.77317078278208,2.61004308967725,0.372912329023721,0.65899753503364,-0.657335686614953,0.245748305610286,-0.245128581845989,0.490876887456275,0.0796162768238163,0.0786856716722035
"LMC","Economic",2014,3.180904523,5,2.63723103852806,2.47410334542323,-0.376226771480892,0.35269057983872,-0.907273210042691,-0.132691638184446,0.341340470665467,-0.474032108849913,0.0720894859991781,0.111208956753988
"LMC","Economic",2015,3.514905149,5,2.67529416691919,2.47410334542323,0.235398002189284,0.438456527293298,-0.907273210042691,0.103211790571694,-0.213570301083908,0.316782091655602,0.00189926351389025,0.0472490086449902
"LMC","Economic",2016,3.564814815,5,2.52847924312484,2.52847924312484,0.326793005057345,0.107645015682786,-0.807298200671595,0.0351776381544226,-0.263819404974858,0.298997043129281,0.0227498780114077,0.247473896963547
"LMC","Economic",2017,3.57915947,5,2.39253949887082,2.66441898737886,0.353061058721867,-0.198661939512134,-0.557360677243857,-0.0701397946918934,-0.196782350797653,0.126642556105759,0.00612274264739162,0.153271502757307
"LMC","Economic",2018,3.357089613,5,2.03909616381035,2.77317078278208,-0.053595143253616,-0.995060023018924,-0.357410658501666,0.0533303844796457,0.019155475442766,0.0341749090368796,0.0749168941143775,0.117914786672773
"LMC","Economic",2019,3.342629482,5,1.1418938517338,2.63723103852806,-0.0800746575468498,-3.01668592730539,-0.607348181929405,0.24156009255538,0.0486331976796989,0.192926894875681,0.147445238517513,0.11355090195628
"LMC","Economic",2020,3.263294423,5,NA,2.67529416691919,-0.225353689164548,NA,-0.537365675369638,NA,0.121097337374947,NA,0.24156009255538,0.192926894875681
"LMC","Economic",2021,3.188191882,5,NA,2.52847924312484,-0.362882097992082,NA,-0.807298200671595,NA,0.292954064764942,NA,NA,NA
"LMC","Food",2006,2.5,4,1.42336714377353,1.56570385815089,-2.56311137418078,0.0192592803942837,0.562156841053056,-0.0493636806371256,-1.44087059337663,1.3915069127395,NA,NA
"LMC","Food",2007,3.322440289,4,1.70804057252824,1.28103042939618,0.067983879726482,0.943704739319898,-0.531769984779919,0.064156709495235,-0.0361517866874312,0.100308496182666,0.00718541518786607,0.561772834081211
"LMC","Food",2008,3.410958904,4,1.42336714377353,1.28103042939618,0.351166635877846,0.0192592803942837,-0.531769984779919,0.00676321670548877,-0.186739876615977,0.193503093321466,-0.271839005127681,0.147446246451388
"LMC","Food",2009,2.725702471,4,1.56570385815089,1.56570385815089,-1.84105931984223,0.481482009857091,0.562156841053056,-0.886436941583767,-1.0349640914338,0.148527149850031,-0.297285163480336,0.113152844822613
"LMC","Food",2010,3.103475307,4,1.42336714377353,1.42336714377353,-0.632514056254485,0.0192592803942837,0.0151934281365689,-0.0121817655627309,-0.00961005685907221,-0.00257170870365867,-0.189391409382676,0.00408513471157829
"LMC","Food",2011,3.432,4,1.66059500106912,1.70804057252824,0.418479884709466,0.789630496165629,1.10912025396954,0.330444478998471,0.464144516010108,-0.133700037011637,-0.727715265530519,-0.884754294877639
"LMC","Food",2012,3.642355303,4,0.711683571886767,1.42336714377353,1.09143431892192,-2.29185436691975,0.0151934281365689,-2.5014085100273,0.0165826288903252,-2.51799113891762,-0.715438371120792,-1.11550552652688
"LMC","Food",2013,3.70125,4,1.42336714377353,1.56570385815089,1.27984624356805,0.0192592803942837,0.562156841053056,0.0246489176664478,0.719474321317835,-0.694825403651387,-1.23837979618042,-1.6064082712845
"LMC","Food",2014,3.197654941,4,NA,1.42336714377353,-0.331220951640877,NA,0.0151934281365689,NA,-0.00503238172608161,NA,0.0246489176664478,-0.694825403651387
"LMC","Food",2015,3.513821138,4,NA,1.66059500106912,0.680236526182913,NA,0.926799116330715,NA,0.630442611362199,NA,NA,NA
"LMC","Food",2016,3.511574074,4,NA,0.711683571886767,0.673047871268142,NA,-2.71962363644587,NA,-1.83043689916041,NA,NA,NA
"LMC","Food",2017,3.497409326,4,NA,1.42336714377353,0.627732969099491,NA,0.0151934281365689,NA,0.00953741575496813,NA,NA,NA
"LMC","Food",2018,3.378398963,4,NA,NA,0.247003078500611,NA,NA,NA,NA,NA,NA,NA
"LMC","Food",2019,3.281540505,4,NA,NA,-0.0628599383689036,NA,NA,NA,NA,NA,NA,NA
"LMC","Food",2020,3.265888457,4,NA,NA,-0.112932909935997,NA,NA,NA,NA,NA,NA,NA
"LMC","Food",2021,3.334563346,4,NA,NA,0.106767142368357,NA,NA,NA,NA,NA,NA,NA
"LMC","GeoConflict",2006,NA,4,0.562096868404101,0.607982327049334,NA,-1.34523881201198,-0.828353233073012,NA,NA,NA,NA,NA
"LMC","GeoConflict",2007,3.151453435,4,0.57356823306541,0.613718009379988,-0.76919096416789,-1.33260591714972,-0.820661038221493,1.02502843026823,0.631245055244611,0.39378337502362,0.576383160905795,0.222165449265823
"LMC","GeoConflict",2008,3.369863014,4,0.57356823306541,0.625189374041296,-0.0958557139057083,-1.33260591714972,-0.805276648518454,0.127737891543358,0.0771903680353325,0.0505475235080255,0.576383160905795,0.222165449265823
"LMC","GeoConflict",2009,NA,4,0.671074832686529,0.590775280057372,NA,-1.22522631082053,-0.851429817627571,NA,NA,NA,0.127737891543358,0.0505475235080255
"LMC","GeoConflict",2010,NA,4,0.92344485523531,0.562096868404101,NA,-0.947302623850848,-0.889890791885169,NA,NA,NA,0.109888787484406,-0.0827570290236094
"LMC","GeoConflict",2011,3.3295,4,1.33067830071175,0.57356823306541,-0.220290916141165,-0.498834856240681,-0.87450640218213,0.109888787484406,0.192645816508015,-0.0827570290236094,-0.00719042534537775,0.0686265064181975
"LMC","GeoConflict",2012,3.528655069,4,1.49701308830072,0.57356823306541,0.393684573578987,-0.315657880737937,-0.87450640218213,-0.124269638175161,-0.344279680035166,0.220010041860004,0.00342896274149016,0.114386464315295
"LMC","GeoConflict",2013,3.48,4,1.87556812212389,0.671074832686529,0.243685781348181,0.101227649716585,-0.743739089706297,0.024667738915226,-0.181238641194264,0.20590638010949,-0.185862643051332,-0.168611599052421
"LMC","GeoConflict",2014,3.021775544,4,2.13940950933398,0.92344485523531,-1.16897514758027,0.391784231548524,-0.405282516239437,-0.457986029894059,0.473765189232699,-0.931751219126758,0.186015079491396,-0.00244573534300675
"LMC","GeoConflict",2015,4.029268293,4,2.24838747361641,1.33067830071175,1.93702590508074,0.511796732739977,0.140863318218452,0.991363529453022,0.272855896464774,0.718507632988248,0.398760016257609,-0.00532734893376448
"LMC","GeoConflict",2016,3.815972222,4,2.25412315594706,1.49701308830072,1.27945509704066,0.518113180171107,0.363936968912519,0.662902549213866,0.465641009876649,0.197261539337217,0.826029933594474,0.286173136576934
"LMC","GeoConflict",2017,3.728842832,4,2.5237002254878,1.87556812212389,1.01084375732995,0.814986209434175,0.87162182911281,0.823823722116535,0.881073484711196,-0.0572497625946613,0.521076029124437,0.0385213215581995
"LMC","GeoConflict",2018,3.427676228,4,2.62694250743958,2.13940950933398,0.0823767386056867,0.928682263194499,1.22546279228271,0.0765018160429108,0.100949628110868,-0.0244478120679569,0.163650956002385,0.00275586949295048
"LMC","GeoConflict",2019,3.282868526,4,2.80474865968985,2.24838747361641,-0.364051164018774,1.1244921335595,1.37161449446158,-0.409372670152291,-0.499337853293761,0.0899651831414697,-0.382444478645482,0.053942584176539
"LMC","GeoConflict",2020,3.186770428,4,2.90368917989364,2.25412315594706,-0.66031214837125,1.23345085174648,1.3793066893131,-0.814462581827065,-0.910772963283169,0.0963103814561042,-1.17148034048389,0.2666932276001
"LMC","GeoConflict",2021,2.859778598,4,3.03035216469558,2.5237002254878,-1.66839579879914,1.37293906585058,1.74083984733452,-2.29060576947232,-2.90440988767505,0.613804118202726,NA,NA
"LMC","Geophysical",2006,NA,1,1.7508685457755,2.86505762035991,NA,-0.556127998320048,1.21950044860521,NA,NA,NA,NA,NA
"LMC","Geophysical",2007,1.494260322,1,1.43252881017995,1.7508685457755,-1.70133995978843,-1.1122559966401,-0.62622996009457,1.8923255725981,1.0654300551256,0.826895517472495,1.38572636760652,-0.0587795055743369
"LMC","Geophysical",2008,1.609589041,1,1.7508685457755,1.43252881017995,-1.58080004112473,-0.556127998320048,-1.15358150543737,0.879127162614946,1.82358169123612,-0.944454528621169,1.7504990158739,0.47719921820024
