"term","real_est","std.error","statistic","p.value","Risk_Type","Lag","N","mean_sim","sd_sim","q025","q975","z","signif","sig.two"
"Risk_Score",-0.275030816357952,0.353015776439334,-0.77908930624016,0.451018465065438,"Economic",4,14,-0.00135283440260512,0.0773557847982646,-0.15322336728251,0.146955522657828,-3.537912292779,TRUE,"SIM"
"Risk_Score",-0.197695749042208,0.276303880528132,-0.715501167281218,0.487988284659311,"Economic",5,14,-0.00103657761117758,0.0467828483782556,-0.0928023207030785,0.0903648196339745,-4.2036596369886,TRUE,"SIM"
"Risk_Score",-0.171458736154912,0.238794364916326,-0.718018351123957,0.484556434420162,"Tech",-5,16,0.19728019112685,0.0362385663931843,0.128688088472055,0.2698368085668,-10.1753177341782,TRUE,"SIM"
"Risk_Score",-0.421069927737144,0.288543497615861,-1.45929446068376,0.166555805184172,"Tech",-4,16,0.00024761166835466,0.0464236149359012,-0.0886363450837599,0.0922277798939233,-9.07550047507561,TRUE,"SIM"
"Risk_Score",-0.446313381633294,0.315404527547735,-1.41505064972711,0.178910829836316,"Tech",-3,16,0.000311784442008815,0.0591862335464362,-0.113246448859758,0.117904590321274,-7.54609880226439,TRUE,"SIM"
"Risk_Score",-0.487660550295816,0.309216467928396,-1.57708466681257,0.13709812049629,"Tech",-2,16,-0.000800746334897602,0.0915455589756807,-0.172888368818204,0.172363148071723,-5.31822416519684,TRUE,"SIM"
"Risk_Score",-0.577817417154479,0.338372819421535,-1.70763543638726,0.109773234933958,"Tech",-1,16,-0.00449716649136592,0.317435459934403,-0.609933692087946,0.624398356275517,-1.8061002094145,FALSE,"NONE"
"Risk_Score",-0.442942579817162,0.286842181815746,-1.54420307715303,0.144838067565597,"Tech",1,16,0.00665491080736584,0.338019226758929,-0.673595426783169,0.652302843291116,-1.33009442964372,FALSE,"NONE"
"Risk_Score",-0.398618058018839,0.234122874756967,-1.70260192829354,0.110731402017896,"Tech",2,16,0.00182413473852157,0.0946654775301671,-0.181036014828557,0.181895755117114,-4.23007629819172,TRUE,"SIM"
"Risk_Score",-0.387478326107866,0.245297192182331,-1.57962805305921,0.136514446382461,"Tech",3,16,-0.033729613662175,0.0607417079642526,-0.148131107069786,0.0851764583746053,-5.82381899194994,TRUE,"SIM"
"Risk_Score",-0.400154829342743,0.275323183918755,-1.45340041346037,0.168159555150228,"Tech",4,16,-0.162706789473829,0.0452659503768066,-0.250973451115434,-0.0718682727025202,-5.24562144155439,TRUE,"SIM"
"Risk_Score",-0.410740177881641,0.278983165299816,-1.47227585377859,0.163068581370282,"Tech",5,16,-0.201584373668711,0.03590080045492,-0.269461492567221,-0.130568258755265,-5.8259370699983,TRUE,"SIM"
"Risk_Score",0.902988770730326,0.353872192421144,2.55173701146791,0.0230396421247102,"Terror",-5,16,0.144023793110647,0.20251228224087,-0.265558898082749,0.512508020768937,3.74774788581444,TRUE,"BOTH"
"Risk_Score",0.996874758093903,0.323523924182364,3.08130151614996,0.00812870853024844,"Terror",-4,16,-0.0014851128260448,0.28557042333971,-0.556318488338857,0.529248217947985,3.4960198582341,TRUE,"BOTH"
"Risk_Score",0.992548777821336,0.341206769525838,2.90893635903134,0.0114382367197491,"Terror",-3,16,-0.00193155840004623,0.30521512962913,-0.601102167150061,0.558673177812836,3.25829305195252,TRUE,"BOTH"
"Risk_Score",0.98767711552163,0.341997825613015,2.88796314348276,0.0119222286907959,"Terror",-2,16,0.008580270130326,0.462359096241931,-0.865166534859997,0.842445873913592,2.11761129682412,TRUE,"BOTH"
"Risk_Score",0.921420488429631,0.363195209813664,2.53698414387779,0.0237080736500206,"Terror",-1,16,0.00753786891491817,0.40242007012544,-0.778238631729809,0.756182793168203,2.2709668015063,TRUE,"BOTH"
"Risk_Score",0.902054551006357,0.340955763073396,2.64566447821612,0.0201774675088827,"Terror",1,15,0.0109141404898378,0.413955804964594,-0.778403756173826,0.825634991062132,2.15274287696664,TRUE,"BOTH"
"Risk_Score",0.814793464208013,0.336775367874945,2.41939744390858,0.0309400680824764,"Terror",2,15,0.0101105230289956,0.458597182979205,-0.84393309887493,0.832483643284532,1.75466176209701,FALSE,"REG"
"Risk_Score",0.69829758403439,0.301462500056298,2.31636632716833,0.0375016403713879,"Terror",3,15,0.00854954683274867,0.295283568508985,-0.567988516180193,0.551873378976199,2.33588357348998,TRUE,"BOTH"
"Risk_Score",0.362473999495208,0.322618472439697,1.12353764728385,0.281529510044663,"Terror",4,15,0.00955063855688426,0.284876599272191,-0.524233039066748,0.539826192744236,1.23886399177742,FALSE,"NONE"
"Risk_Score",0.367388342018939,0.260421328311996,1.41074597998668,0.18179894434833,"Terror",5,15,0.00729295462557555,0.208607904147718,-0.378097902541032,0.408558072477259,1.72618285421426,FALSE,"NONE"
"Risk_Score",-0.371033765056459,0.634392614205156,-0.584864572424657,0.570440669125446,"GeoConflict",-5,16,0.0967411033504428,0.0786273951174977,-0.0577300147884062,0.252736800658955,-5.94926065791544,TRUE,"SIM"
"Risk_Score",-0.268546190609858,0.687813547459674,-0.390434575767937,0.703670169902253,"GeoConflict",-4,16,0.000465410505201995,0.115802649363843,-0.220934370664665,0.226608971797294,-2.32301767354083,TRUE,"SIM"
"Risk_Score",-0.257772418829779,0.724947719402266,-0.355573804745973,0.728884568609502,"GeoConflict",-3,16,-0.000703596200810727,0.193535704818542,-0.375833182326683,0.368781187623787,-1.32827595233652,FALSE,"NONE"
"Risk_Score",-0.157792786095326,0.787401052242067,-0.20039697133503,0.84482706285967,"GeoConflict",-2,16,-0.0117817073298899,0.795005623051389,-1.5175386891369,1.56333182231887,-0.183660435262101,FALSE,"NONE"
"Risk_Score",-0.066644423707214,0.762931484873912,-0.0873530913699651,0.931960767601613,"GeoConflict",-1,16,-0.0162463652151173,0.702868775698074,-1.36462670859806,1.36365518135334,-0.071703368017796,FALSE,"NONE"
"Risk_Score",-0.321980724676967,0.7553265299369,-0.426280174090887,0.678125912697944,"GeoConflict",1,16,-0.00886060493902778,0.691069575725918,-1.30904397282879,1.34842740224779,-0.453094928117808,FALSE,"NONE"
"Risk_Score",0.216004046847365,0.734501588291704,0.294082477547455,0.77416986916884,"GeoConflict",2,16,-0.00827852810279089,0.787308310260934,-1.41442807943356,1.49385546211967,0.284872612199182,FALSE,"NONE"
"Risk_Score",0.207161382879732,0.69238917953795,0.2991978918821,0.770366211306076,"GeoConflict",3,16,-0.0025857731480407,0.198646463135881,-0.37890903962365,0.383553455883875,1.05588165385204,FALSE,"NONE"
"Risk_Score",0.977575989747955,0.493363951202574,1.98144997696957,0.0730879107298922,"GeoConflict",4,16,0.699302812134453,0.100640947106102,0.497493673801697,0.884087416596926,2.76500952758451,TRUE,"SIM"
"Risk_Score",0.894969624707754,0.417580592286186,2.14322610111725,0.0552943929302996,"GeoConflict",5,16,0.577808951576773,0.0630661457457483,0.454889766823241,0.69222499616358,5.02901627141791,TRUE,"SIM"
