"Region","Year","horizon","n_future","n_past","future_window_years_min","future_window_years_mean","future_window_years_max","past_window_years_min","past_window_years_mean","past_window_years_max","predictive_capacity","predictive_capacity_se","predictive_capacity_p","past_at_horizon","past_at_horizon_se","past_at_horizon_p"
"HIC",2017,5,7,8,3,5.28571428571429,6,2,5.5,6,2.65320339452047,1.44415376282268,0.125598613750987,3.04668724301449,0.986968370216202,0.0214723370203109
"HIC",2018,1,7,7,2,2,2,2,2,2,2.2076792308129,1.11596993179468,0.104810938908045,2.28000808145814,1.03301393270306,0.0783859378430319
"HIC",2018,2,7,7,2,2.85714285714286,3,3,3,3,1.87084812039464,1.10622111127616,0.151585558116248,2.41530900054885,0.81320168652685,0.0311526721741408
"HIC",2018,3,7,7,2,3.57142857142857,4,4,4,4,1.82468860063552,1.16247242525702,0.177288404401996,2.19614319374478,0.886870202910895,0.0560960419395802
"HIC",2018,4,7,7,2,4.28571428571429,5,5,5,5,1.78986955966267,1.2205150448021,0.20242507878338,2.17077948320192,0.898826313809012,0.0604800289909261
"HIC",2018,5,7,8,2,4.85714285714286,6,1,5.375,6,1.76355187734186,1.2131057121918,0.205757340260766,2.35433183313281,0.811465468433258,0.0272869777580734
"HIC",2019,1,7,7,1,1.85714285714286,2,2,2,2,1.38908667320578,1.30326533825357,0.335230245603149,1.93678517774953,1.28955915321384,0.193431787626559
"HIC",2019,2,7,7,1,2.57142857142857,3,3,3,3,1.50349794295484,1.35321027091713,0.317093665599417,1.96508276190319,1.24583578431669,0.175548752972905
"HIC",2019,3,7,7,1,3.28571428571429,4,4,4,4,1.55006681304172,1.40829592224218,0.321186045198117,2.01299202223813,1.1054915018655,0.128260176577426
"HIC",2019,4,7,7,1,3.85714285714286,5,5,5,5,1.52590800568194,1.38594990146159,0.321061276801898,1.8695315646747,1.12146127701659,0.156380627997462
"HIC",2019,5,7,7,1,4.28571428571429,6,6,6,6,1.09829790590045,1.34403282432735,0.451000029773731,1.81845542497404,1.12852733291762,0.168019669278996
"HIC",2020,1,6,7,1,1.83333333333333,2,1,1.85714285714286,2,0.642122837696572,1.15885961395207,0.609027957559279,1.09017869721381,1.20654014610184,0.407652492242402
"HIC",2020,2,6,7,1,2.66666666666667,3,2,2.85714285714286,3,0.749458039059594,1.23923311500081,0.577958357720264,1.2480155646716,1.1778282840139,0.337810370293138
"HIC",2020,3,6,7,1,3.33333333333333,4,3,3.85714285714286,4,0.70976036272105,1.19717646301026,0.585167675702412,1.35549394764662,1.15799902887386,0.294529091694885
"HIC",2020,4,6,7,1,3.83333333333333,5,4,4.85714285714286,5,0.259487157660217,1.13112300055055,0.829805720488963,1.4300080941548,1.0589903993462,0.234804103052747
"HIC",2020,5,6,7,1,3.83333333333333,5,5,5.85714285714286,6,0.259487157660217,1.13112300055055,0.829805720488963,1.37331273440546,1.05126603917465,0.248298008117801
"HIC",2021,1,5,6,2,2,2,1,1.83333333333333,2,1.49809620857098,2.17556108225248,0.540546283782346,0.730850772132218,1.61409609911823,0.67417056719569
"HIC",2021,2,5,7,2,2.8,3,1,2.57142857142857,3,1.47047550460705,2.00624028058781,0.516665963663644,1.03339294529325,1.76696855202803,0.58405083118048
"HIC",2021,3,5,7,2,3.4,4,2,3.57142857142857,4,0.858237207671577,1.80412759627548,0.666776512812536,0.727186271744984,1.75998929608646,0.696599464305249
"HIC",2021,4,5,7,2,3.4,4,3,4.57142857142857,5,0.858237207671577,1.80412759627548,0.666776512812536,0.680359269357076,1.75729487544475,0.714566722181361
"HIC",2021,5,5,7,2,3.4,4,4,5.57142857142857,6,0.858237207671577,1.80412759627548,0.666776512812536,0.603027568804966,1.66054750526166,0.731340586986844
"UMC",2006,1,6,6,2,2,2,2,2,2,-6.84880806466907,3.221245389253,0.100644391945325,-7.31462258566849,3.30584597736726,0.0913579823156659
"UMC",2006,2,6,6,3,3,3,3,3,3,-6.57724382412077,3.16344170841935,0.106125958506091,-8.15158556883904,3.0987896043918,0.0581514246116106
"UMC",2006,3,6,6,4,4,4,4,4,4,-6.02084521363678,2.99841030263078,0.115059514976111,-7.47256678548361,3.07103841448271,0.0717297946667696
