"Region","Year","horizon","n_future","n_past","future_window_years_min","future_window_years_mean","future_window_years_max","past_window_years_min","past_window_years_mean","past_window_years_max","predictive_capacity","predictive_capacity_se","predictive_capacity_p","past_at_horizon","past_at_horizon_se","past_at_horizon_p","best_horizon","past_at_best_horizon","anticipatory_skill"
"LIC",2008,5,8,8,6,6,6,6,6,6,0.913787313398612,0.61141537080222,0.185655506799741,0.79090134386174,1.06664800882604,0.486398342036441,5,0.79090134386174,0.122885969536872
"LIC",2009,2,7,7,3,3,3,3,3,3,0.76979936322037,0.721616335152962,0.334852520958278,0.869777370488719,0.773310843151348,0.311773402450888,2,0.869777370488719,-0.0999780072683495
"LIC",2010,1,7,7,2,2,2,2,2,2,1.11661281990765,0.544130828852296,0.0953870507081721,1.00863384090736,0.535846610527935,0.118523302074515,1,1.00863384090736,0.107978979000285
"LIC",2011,5,8,8,3,5.625,6,6,6,6,-0.210825379404104,1.74471137889836,0.907765330455911,-1.86233747191034,2.86355520570691,0.539549740707046,5,-1.86233747191034,1.65151209250623
"LIC",2012,5,8,8,2,5.5,6,6,6,6,2.22712029402464,0.866649364675714,0.0423460865716836,-0.4265634989775,1.96460868964212,0.835306646582965,5,-0.4265634989775,2.65368379300214
"LIC",2013,4,8,8,1,4.5,5,5,5,5,3.15455822554115,1.07812191518371,0.0264250313560354,0.604653701489463,1.74567928797651,0.740886906737275,4,0.604653701489463,2.54990452405169
"LIC",2014,5,7,8,6,6,6,5,5.875,6,0.96754141336492,1.11176128047917,0.423952196324473,1.23993557714591,1.11311426222085,0.307930520715805,5,1.23993557714591,-0.272394163780987
"LIC",2015,1,7,7,2,2,2,2,2,2,1.23899297654054,1.50570748950576,0.448037136796659,0.1786901123739,1.3794356532591,0.901981324410658,1,0.1786901123739,1.06030286416664
"LIC",2016,1,7,7,2,2,2,2,2,2,0.800819606081182,1.32032552299099,0.570643612733219,1.79028736451254,1.23317865332514,0.206280846154236,1,1.79028736451254,-0.989467758431355
"LIC",2017,2,7,7,3,3,3,3,3,3,0.288976811281554,1.24258350224396,0.825321768101989,0.893426982673817,1.12956424796563,0.464820612777442,2,0.893426982673817,-0.604450171392263
"LIC",2018,1,7,7,2,2,2,2,2,2,0.303362945973791,1.03043903463065,0.780281858300267,-0.110574011953277,0.872358755755242,0.904075526155145,1,-0.110574011953277,0.413936957927067
"LIC",2019,1,7,7,1,1.85714285714286,2,2,2,2,0.611927485538592,1.34271225967379,0.667686456907745,0.549737939887861,1.05531369774581,0.624659052030638,1,0.549737939887861,0.0621895456507314
"LIC",2020,2,6,7,1,2.66666666666667,3,2,2.85714285714286,3,0.0298702592963118,0.996921454336699,0.977532326793247,0.403638201479274,0.9887143191991,0.699988442063257,2,0.403638201479274,-0.373767942182962
"LIC",2021,1,5,6,2,2,2,1,1.83333333333333,2,1.29917448030369,0.990046103300342,0.280811958155736,1.68045724535541,1.18722120294428,0.229862227361756,1,1.68045724535541,-0.381282765051717
