"Region","Risk_Type","Year","horizon","Risk_Score","future_shocks","past_shocks","future_window_years","past_window_years"
"Global","Climate",2015,5,4.050406504,6.59001237333399,6.35512739416395,6,6
"Global","Climate",2016,1,4.076388889,6.08385178441828,6.46099104674763,2,2
"Global","Climate",2016,2,4.076388889,5.9614469361184,6.21948958929111,3,3
"Global","Climate",2016,3,4.076388889,6.27242141558295,6.13843773028173,4,4
"Global","Climate",2016,4,4.076388889,6.49076519903679,6.17317424128575,5,5
"Global","Climate",2016,5,4.076388889,6.71903369992035,6.12685889328039,6,6
"Global","Climate",2017,1,4.257340242,6.02430347983996,6.08385178441828,2,2
"Global","Climate",2017,2,4.257340242,6.41798393788551,6.41798393788551,3,3
"Global","Climate",2017,3,4.257340242,6.65452303662717,6.24760962200865,4,4
"Global","Climate",2017,4,4.257340242,6.89569367016936,6.17714412825764,5,5
"Global","Climate",2017,5,4.257340242,7.0134669836687,6.19964015443167,6,6
"Global","Climate",2018,1,4.413748177,6.46099104674763,6.02430347983996,2,2
"Global","Climate",2018,2,4.413748177,6.76204080878247,5.9614469361184,3,3
"Global","Climate",2018,3,4.413748177,7.03662465767138,6.24264726329379,4,4
"Global","Climate",2018,4,4.413748177,7.14976643637019,6.14141514551065,5,5
"Global","Climate",2018,5,4.413748177,7.16895422340098,6.10039298013448,6,6
"Global","Climate",2019,1,4.35059761,7.28474259341438,6.46099104674763,2,2
"Global","Climate",2019,2,4.35059761,7.4766204637223,6.41798393788551,3,3
"Global","Climate",2019,3,4.35059761,7.50804873558307,6.27242141558295,4,4
"Global","Climate",2019,4,4.35059761,7.45941762017745,6.43518678143036,5,5
"Global","Climate",2019,5,4.35059761,6.76534904792571,6.31873676358831,6,6
"Global","Climate",2020,1,4.256809339,7.61225826859513,7.28474259341438,2,2
"Global","Climate",2020,2,4.256809339,7.60895002945189,6.76204080878247,3,3
"Global","Climate",2020,3,4.256809339,7.52293581172766,6.65452303662717,4,4
"Global","Climate",2020,4,4.256809339,6.67734988671552,6.49076519903679,5,5
"Global","Climate",2020,5,4.256809339,6.67734988671552,6.59001237333399,5,6
"Global","Climate",2021,1,4.014760148,7.73135487775177,7.61225826859513,2,2
"Global","Climate",2021,2,4.014760148,7.57586763801949,7.4766204637223,3,3
"Global","Climate",2021,3,4.014760148,6.50565227518137,7.03662465767138,4,4
"Global","Climate",2021,4,4.014760148,6.50565227518137,6.89569367016936,4,5
"Global","Climate",2021,5,4.014760148,6.50565227518137,6.71903369992035,4,6
"Global","Diseases",2006,1,2.25,0.459625001969832,0.52984548838189,2,2
"Global","Diseases",2006,2,2.25,0.510694446633147,0.663902780623091,3,3
"Global","Diseases",2006,3,2.25,1.04373177530649,0.762849829658263,4,4
"Global","Diseases",2006,4,2.25,1.02138889326629,0.702204864120577,5,5
"Global","Diseases",2006,5,2.25,0.953296300381874,0.689437502954748,6,6
"Global","Diseases",2007,1,2.121088687,0.491543404884404,0.459625001969832,2,2
"Global","Diseases",2007,2,2.121088687,1.20864352369845,0.476648150190937,3,3
"Global","Diseases",2007,3,2.121088687,1.13948698405021,0.590490453919576,4,4
"Global","Diseases",2007,4,2.121088687,1.03415625443212,0.684330558488417,5,5
"Global","Diseases",2007,5,2.121088687,0.932017365105493,0.646879632401986,6,6
"Global","Diseases",2008,1,2.726027397,1.62783854864316,0.491543404884404,2,2
"Global","Diseases",2008,2,2.726027397,1.3958981541306,0.510694446633147,3,3
"Global","Diseases",2008,3,2.726027397,1.20013194958789,0.510694446633147,4,4
"Global","Diseases",2008,4,2.726027397,1.04437014336478,0.594959030327616,5,5
"Global","Diseases",2008,5,2.726027397,0.940528939216045,0.672414354733643,6,6
"Global","Diseases",2009,1,2.732532323,1.78743056321601,1.62783854864316,2,2
"Global","Diseases",2009,2,2.732532323,1.3958981541306,1.20864352369845,3,3
"Global","Diseases",2009,3,2.732532323,1.15225434521604,1.04373177530649,4,4
"Global","Diseases",2009,4,2.732532323,1.0060680598673,0.937124309571824,5,5
"Global","Diseases",2009,5,2.732532323,0.92350579099494,0.936273152160769,6,6
"Global","Diseases",2010,1,3.066958453,0.772425350532634,1.78743056321601,2,2
"Global","Diseases",2010,2,3.066958453,0.655391206512538,1.3958981541306,3,3
"Global","Diseases",2010,3,3.066958453,0.59687413450249,1.13948698405021,4,4
"Global","Diseases",2010,4,3.066958453,0.579638196928622,1.02138889326629,5,5
"Global","Diseases",2010,5,3.066958453,0.604321761849224,0.936273152160769,6,6
"Global","Diseases",2011,1,3.187,0.517078127216061,0.772425350532634,2,2
