"term","real_est","std.error","statistic","p.value","Region","Risk_Type","Lag","N","mean_sim","sd_sim","q025","q975","z","signif","sig.two"
"Risk_Score",0.926205518421143,0.397652578454676,2.32918273036349,0.0353366413644747,"HIC","Terror",-2,16,-0.0105521328479253,0.46467172787543,-0.872131194292318,0.866338081279146,2.01595577065148,TRUE,"BOTH"
"Risk_Score",0.738256360846376,0.445591076297398,1.65680239151299,0.119791011048995,"HIC","Terror",-1,16,-0.00601441475762045,0.396771599109945,-0.759151225153435,0.774443448799761,1.8758166594423,FALSE,"NONE"
"Risk_Score",0.914132006412427,0.404702770086391,2.25877378160098,0.0417256863403376,"HIC","Terror",1,15,-0.0160984038685136,0.409028878368264,-0.801028788797902,0.764558734746132,2.27424140317892,TRUE,"BOTH"
"Risk_Score",1.12507963761017,0.29087566270696,3.86790571318309,0.00194055543353851,"HIC","Terror",2,15,-0.00742650861417201,0.460748883763586,-0.887510079063323,0.840283428360887,2.45796829060891,TRUE,"BOTH"
"Risk_Score",0.921760377038129,0.273142071820929,3.37465543441594,0.00497902043256429,"HIC","Terror",3,15,-0.00518522686765092,0.320055401011091,-0.612355290152846,0.601892962832462,2.89620359780667,TRUE,"BOTH"
"Risk_Score",0.678460021211665,0.283882964106839,2.38992862198074,0.0326953640399728,"HIC","Terror",4,15,-0.00382840089634479,0.313235959719826,-0.556700867291033,0.600944244060735,2.178193150998,TRUE,"BOTH"
"Risk_Score",0.611244353578352,0.229117857362209,2.66781629601243,0.0193445850350013,"HIC","Terror",5,15,-0.00210206460061392,0.234861878891993,-0.428677381823328,0.463300280436236,2.61151967732077,TRUE,"BOTH"
"Risk_Score",-0.375926184551499,0.412368068043897,-0.911627775484017,0.381508945572915,"HIC","GeoConflict",-5,16,0.0908288683035175,0.114816167156802,-0.133026813744357,0.31930973307209,-4.06523806196718,TRUE,"SIM"
"Risk_Score",-0.482324975897571,0.466078242352167,-1.03485838228236,0.322950328809621,"HIC","GeoConflict",-4,16,-0.00502416577112615,0.165983792871342,-0.326333517009647,0.313076375086249,-2.87558683814637,TRUE,"SIM"
"Risk_Score",-0.637993052544803,0.53264033166869,-1.19779336000723,0.256170046972569,"HIC","GeoConflict",-3,16,-0.00882978500288286,0.267271884041836,-0.511839632140313,0.504058187750046,-2.35401965230071,TRUE,"SIM"
"Risk_Score",-0.597943834392954,0.661652141507306,-0.903713291142353,0.385511202386495,"HIC","GeoConflict",-2,16,-0.0183229757033053,0.778214803845428,-1.4982965887256,1.52609181654118,-0.744808317479367,FALSE,"NONE"
"Risk_Score",-0.560319650481009,0.709205634365815,-0.790066552392886,0.446186776097993,"HIC","GeoConflict",-1,16,-0.0143486130901532,0.698436204038342,-1.34667994246953,1.4105862964145,-0.781704949190869,FALSE,"NONE"
"Risk_Score",-0.57962383131402,0.713187214063069,-0.812723251180947,0.433614443516786,"HIC","GeoConflict",1,16,-0.00585583652829323,0.671557959702478,-1.26603156003889,1.32443816866795,-0.854383432578067,FALSE,"NONE"
"Risk_Score",0.358669885662528,0.633611106577194,0.566072598695571,0.582708295265419,"HIC","GeoConflict",2,16,0.00638820778944975,0.786583709900385,-1.49342179270823,1.48602425297211,0.447862920931445,FALSE,"NONE"
"Risk_Score",0.272253072577765,0.559727846275514,0.48640258723836,0.636227493853522,"HIC","GeoConflict",3,16,0.00271116845341974,0.279275338344591,-0.555936848400387,0.546301292723892,0.965147534050301,FALSE,"NONE"
"Risk_Score",1.07660573790046,0.362023981672316,2.97385198883024,0.0126578760858139,"HIC","GeoConflict",4,16,0.695219857871883,0.141642087379007,0.417549034469754,0.957061690693565,2.6926027926153,TRUE,"BOTH"
"Risk_Score",0.87748590249595,0.258154514003811,3.39907247363878,0.00593883951284544,"HIC","GeoConflict",5,16,0.576222338016223,0.0889963462314776,0.399513613503429,0.749524288170972,3.38512284196641,TRUE,"BOTH"
"Risk_Score",-0.116278941706571,0.149696916924164,-0.776762435030489,0.450224523169951,"LIC","Climate",-5,16,0.267695203392155,0.0905416555504258,0.0839283701299177,0.445816341844508,-4.24085624196342,TRUE,"SIM"
"Risk_Score",-0.406326675720678,0.130533129649884,-3.11282412986286,0.00763538298554977,"LIC","Climate",-4,16,-0.00221763490211273,0.115363210931444,-0.232523881728512,0.227271042919606,-3.50292816536384,TRUE,"BOTH"
"Risk_Score",-0.467290745984649,0.170973632162479,-2.73311586163518,0.0161721109457909,"LIC","Climate",-3,16,-0.00248899735550363,0.144758041468211,-0.299482506144136,0.283566533986737,-3.21088724270435,TRUE,"BOTH"
"Risk_Score",-0.504617617624916,0.220295023115544,-2.2906446568257,0.0380183964861988,"LIC","Climate",-2,16,-0.0016320208163193,0.197472596359086,-0.387718377041025,0.381965491408331,-2.54711593447611,TRUE,"BOTH"
"Risk_Score",-0.567329403387882,0.282675772088648,-2.00699691804491,0.0644600427858483,"LIC","Climate",-1,16,-0.00238159364348279,0.329392238144371,-0.666765038963685,0.613270814086402,-1.71512180410513,FALSE,"NONE"
"Risk_Score",-0.401684269684402,0.285796758431578,-1.4054892430859,0.181678049443784,"LIC","Climate",1,16,0.00299742182784747,0.325234341011522,-0.631753534224309,0.6173804088132,-1.24427725022406,FALSE,"NONE"
"Risk_Score",-0.143635245879889,0.224961955856997,-0.638486829173885,0.533463117635847,"LIC","Climate",2,16,-0.00175073558327741,0.193926425107549,-0.38304072450657,0.379248468672549,-0.731640931440491,FALSE,"NONE"
"Risk_Score",-0.215388758116926,0.19402042683967,-1.11013444112724,0.285645309768487,"LIC","Climate",3,16,-0.0452676528113442,0.141494833980003,-0.318865854142418,0.233014629839872,-1.20231319066833,FALSE,"NONE"
"Risk_Score",-0.255817043505136,0.170002432741207,-1.50478460443307,0.154603072308427,"LIC","Climate",4,16,-0.233455701778853,0.11022413298075,-0.447731628867035,-0.00710065025259502,-0.202871559263598,FALSE,"NONE"
"Risk_Score",-0.270429587211586,0.126097708772796,-2.14460349710912,0.0500170513110579,"LIC","Climate",5,16,-0.290234841677601,0.0897962124308384,-0.464320385557298,-0.108055875918173,0.220557793362045,FALSE,"NONE"
