"Region","Risk_Type","Year","Shock_Value"
"UMC","Tech",2002,3.82160700798896
"UMC","Tech",2003,3.66237338265609
"UMC","Tech",2004,4.43200257176498
"UMC","Tech",2005,3.95430169576636
"UMC","Tech",2006,2.99889994376912
"UMC","Tech",2007,2.94582206865816
"UMC","Tech",2008,2.68043269310337
"UMC","Tech",2009,2.33542650488214
"UMC","Tech",2010,2.57427694288145
"UMC","Tech",2011,2.30888756732666
"UMC","Tech",2012,1.96388137910544
"UMC","Tech",2013,1.91080350399448
"UMC","Tech",2014,2.07003712932735
"UMC","Tech",2015,2.30888756732666
"UMC","Tech",2016,2.09657606688283
"UMC","Tech",2017,1.56579731577326
"UMC","Tech",2018,1.67195306599517
"UMC","Tech",2019,1.61887519088421
"UMC","Tech",2020,0.955401751997241
"UMC","Tech",2021,1.24733006510751
"UMC","Tech",2022,1.40656369044038
"UMC","Tech",2023,1.40656369044038
"UMC","Tech",2024,0.530778751109578
"LMC","Geophysical",2001,2.86505762035991
"LMC","Geophysical",2002,3.82007682714654
"LMC","Geophysical",2003,0.955019206786636
"LMC","Geophysical",2004,3.501737091551
"LMC","Geophysical",2005,3.18339735595545
"LMC","Geophysical",2006,2.54671788476436
"LMC","Geophysical",2007,0.955019206786636
"LMC","Geophysical",2008,1.91003841357327
"LMC","Geophysical",2009,1.59169867797773
"LMC","Geophysical",2010,0.63667947119109
"LMC","Geophysical",2011,3.18339735595545
"LMC","Geophysical",2012,1.59169867797773
"LMC","Geophysical",2013,2.22837814916882
"LMC","Geophysical",2014,1.91003841357327
"LMC","Geophysical",2015,3.501737091551
"LMC","Geophysical",2016,2.22837814916882
"LMC","Geophysical",2017,1.59169867797773
"LMC","Geophysical",2018,2.86505762035991
"LMC","Geophysical",2019,3.82007682714654
"LMC","Geophysical",2020,0.955019206786636
"LMC","Geophysical",2021,1.91003841357327
"LMC","Geophysical",2022,1.91003841357327
"LMC","Geophysical",2023,2.86505762035991
"LMC","Geophysical",2024,0.63667947119109
"LMC","Climate",2001,5.19572216686224
"LMC","Climate",2002,5.49093365361578
"LMC","Climate",2003,5.01859527481012
"LMC","Climate",2004,3.95583392249739
"LMC","Climate",2005,6.14039892447356
"LMC","Climate",2006,6.37656811387639
"LMC","Climate",2007,7.02603338473417
"LMC","Climate",2008,5.84518743772002
"LMC","Climate",2009,6.4356104112271
"LMC","Climate",2010,6.25848351917498
"LMC","Climate",2011,6.25848351917498
"LMC","Climate",2012,4.60529919335517
"LMC","Climate",2013,4.48721459865376
"LMC","Climate",2014,5.07763757216083
"LMC","Climate",2015,6.19944122182427
"LMC","Climate",2016,5.19572216686224
"LMC","Climate",2017,5.13667986951154
"LMC","Climate",2018,5.01859527481012
"LMC","Climate",2019,6.14039892447356
"LMC","Climate",2020,6.37656811387639
"LMC","Climate",2021,6.14039892447356
"LMC","Climate",2022,4.54625689600446
"LMC","Climate",2023,6.37656811387639
"LMC","Climate",2024,2.59786108343112
"LMC","Diseases",2001,0.613424709473862
"LMC","Diseases",2002,0.55765882679442
"LMC","Diseases",2003,0.724956474832746
"LMC","Diseases",2004,0.780722357512188
"LMC","Diseases",2005,0.83648824019163
"LMC","Diseases",2006,0.669190592153304
"LMC","Diseases",2007,0.613424709473862
"LMC","Diseases",2008,1.0595517709094
"LMC","Diseases",2009,2.7882941339721
"LMC","Diseases",2010,1.61721059770382
"LMC","Diseases",2011,0.613424709473862
"LMC","Diseases",2012,0.83648824019163
"LMC","Diseases",2013,0.390361178756094
"LMC","Diseases",2014,0.27882941339721
"LMC","Diseases",2015,0.669190592153304
"LMC","Diseases",2016,0.669190592153304
"LMC","Diseases",2017,0.724956474832746
"LMC","Diseases",2018,0.83648824019163
"LMC","Diseases",2019,1.50567883234493
"LMC","Diseases",2020,3.01135766468987
"LMC","Diseases",2021,3.8478459048815
"LMC","Diseases",2022,2.95559178201043
"LMC","Food",2001,2.1350507156603
"LMC","Food",2002,2.84673428754707
"LMC","Food",2003,0.711683571886767
"LMC","Food",2004,0.711683571886767
"LMC","Food",2005,1.42336714377353
"LMC","Food",2006,2.1350507156603
"LMC","Food",2007,1.42336714377353
"LMC","Food",2008,0.711683571886767
"LMC","Food",2009,2.1350507156603
"LMC","Food",2010,0.711683571886767
"LMC","Food",2011,3.55841785943383
"LMC","Food",2012,0
"LMC","Food",2013,1.42336714377353
"LMC","Economic",2001,5.38321387245934
"LMC","Economic",2002,4.73070310004002
"LMC","Economic",2003,4.5675754069352
