"Region","Risk_Type","center_year","start_year","end_year","best_horizon","rolling_predictive_capacity","rolling_predictive_capacity_se","rolling_predictive_capacity_p","rolling_past_at_best_horizon","rolling_past_at_best_horizon_se","rolling_past_at_best_horizon_p","rolling_anticipatory_skill","n_future","n_past"
"HIC","Tech",2011,2008,2014,2,0.319377954685129,0.267770606165563,0.286484835072075,-0.121393178617738,0.325287544335735,0.724307675246848,0.440771133302866,7,7
"HIC","Tech",2012,2009,2015,2,0.236759045676759,0.290843119648093,0.452629627945215,-0.194454810807905,0.321908813374333,0.572156684933108,0.431213856484664,7,7
"HIC","Tech",2013,2010,2016,1,-0.569344331597953,1.11547780936552,0.631495914520456,1.29428866309977,0.732129071076091,0.137328814670793,-1.86363299469773,7,7
"HIC","Tech",2014,2011,2017,1,-1.25419965727147,1.05311232084604,0.287124498097558,0.244218622518397,0.956827192060426,0.808705867062934,-1.49841827978987,7,7
"HIC","Tech",2015,2012,2018,5,-2.64100547123053,0.721899075240067,0.0146191126806751,0.0240651344534477,0.246246701669245,0.925945190913898,-2.66507060568398,7,7
"HIC","Tech",2016,2013,2019,5,-2.54760107259051,0.650502964398202,0.0112230218728208,-0.154590503928573,0.389077814044841,0.707521748083004,-2.39301056866194,7,7
"HIC","Tech",2017,2014,2020,5,-2.18666883421031,0.607659154274475,0.0155676524528743,-0.229484308011372,0.833544603297586,0.794091896848292,-1.95718452619893,7,7
"HIC","Tech",2018,2015,2021,5,-1.36921089121281,1.92565545518403,0.508846060718503,3.11504539645856,3.38440411282105,0.399587774877132,-4.48425628767137,7,7
"HIC","Tech",2019,2016,2022,4,0.274340062192038,1.06656401921607,0.809699755386808,5.13349992019763,4.35145629584784,0.303482148143293,-4.85915985800559,6,6
"HIC","Tech",2020,2017,2023,4,1.02796384288907,0.811232614066754,0.294525753559138,8.65019515755666,2.24180213372536,0.0307620286287679,-7.62223131466759,5,5
"HIC","Tech",2021,2018,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Geophysical",2006,2003,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Geophysical",2007,2004,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Geophysical",2008,2005,2011,2,0.2397741652912,0.139849323461087,0.184945088207054,0.0573796696804266,0.140033299208593,0.709486511436376,0.182394495610773,5,5
"UMC","Geophysical",2009,2006,2012,2,0.269081608172698,0.114742134126088,0.0789370189264705,0.115451234133224,0.127317001817453,0.415798785465277,0.153630374039474,6,6
"UMC","Geophysical",2010,2007,2013,1,0.277122014222243,0.0951559191918762,0.0333107241031856,0.261687636168582,0.0594752687044504,0.00702226148392083,0.0154343780536605,7,7
"UMC","Geophysical",2011,2008,2014,1,0.0674665956794669,0.169537798153573,0.707093799522648,0.339217760416866,0.0468152060386208,0.000781746611566546,-0.271751164737399,7,7
